profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge,positive_rate_profile_beats_anchor
triad_odd_bal_0.45,5,23,15,0.5831489195521999,0.5157275123665713,0.5333382826737828,0.0,0.3121495327102804
edges_narrow_bal_0.55,5,23,0,0.5831352151543311,0.514744256584161,0.5352250099561927,0.0,0.3186915887850467
edges_narrow_bal_0.55,7,31,3,0.5829461480596487,0.5152571111352475,0.5408921955516938,0.0,0.3186915887850467
edges_narrow_bal_0.55,6,27,7,0.5829059210182268,0.5160940347320274,0.5388363925998335,0.0,0.3186915887850467
late_boost_bal_0.60,5,23,14,0.5822941519849245,0.5153150844861292,0.5282573095291265,0.0,0.3355140186915888
late_boost_bal_0.60,4,19,4,0.5820669228870632,0.5154218038072629,0.538514744426031,0.0,0.3355140186915888
edges_narrow_bal_0.55,5,23,14,0.5810072046631186,0.5199699101730164,0.5396906138244251,0.0,0.3186915887850467
late_boost_bal_0.60,1,7,0,0.580625193438564,0.5171990487719835,0.5420381666529546,0.0,0.3355140186915888
edges_narrow_bal_0.55,6,27,4,0.580496321237062,0.5146473094143346,0.5310369726737707,0.0,0.3186915887850467
late_boost_bal_0.60,1,7,13,0.5802020771873739,0.5170506446646217,0.5516568135428542,0.0,0.3355140186915888
late_boost_bal_0.60,4,19,9,0.5801041336107096,0.5150826056125587,0.5312675074143288,0.0,0.3355140186915888
edges_narrow_bal_0.55,5,23,3,0.5799452107695835,0.5153829815478559,0.5341843363946112,0.0,0.3186915887850467
late_boost_bal_0.60,3,15,5,0.579841644825249,0.5143768633765461,0.5303217642380578,0.0,0.3355140186915888
edges_narrow_bal_0.55,6,27,6,0.5796073036216406,0.5149547244648798,0.5364762720796173,0.0,0.3186915887850467
late_boost_bal_0.60,5,23,15,0.5795674028105889,0.5167775779728815,0.5397135738044027,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,1,0.5794866224973751,0.5133354251394873,0.5319432879170035,0.0,0.3186915887850467
edges_narrow_bal_0.55,2,11,15,0.579414213822816,0.5139594270060219,0.5347056788514375,0.0,0.3186915887850467
triad_odd_bal_0.45,1,7,10,0.5788653670919032,0.5183464592554021,0.5364815884535278,0.0,0.3121495327102804
triad_odd_bal_0.45,3,15,0,0.5788287555324135,0.5130251724811247,0.5300383607784431,0.0,0.3121495327102804
triad_odd_bal_0.45,1,7,7,0.5778402434261911,0.5164788629263213,0.5348074231970841,0.0,0.3121495327102804
triad_odd_bal_0.45,0,3,11,0.5775066714397292,0.5153274700598801,0.5327158861624577,0.0,0.3121495327102804
edges_narrow_bal_0.55,5,23,6,0.5772721238671059,0.5158120431716611,0.534313968035593,0.0,0.3186915887850467
late_boost_bal_0.60,2,11,3,0.5770718004771811,0.5151582180537434,0.5324052200008619,0.0,0.3355140186915888
triad_odd_bal_0.45,2,11,4,0.5761723834938818,0.5142065868263473,0.5344514774798229,0.0,0.3121495327102804
triad_odd_bal_0.45,2,11,9,0.5757045691226244,0.5138067072376987,0.5310598232882062,0.0,0.3121495327102804
edges_narrow_bal_0.55,5,23,11,0.5753874869764953,0.5142101219281625,0.5308768690489121,0.0,0.3186915887850467
triad_odd_bal_0.45,3,15,9,0.5747974160374902,0.5148332140067692,0.5316018777662066,0.0,0.3121495327102804
triad_odd_bal_0.45,3,15,5,0.5747201249674564,0.5153793771153348,0.5342151295235615,0.0,0.3121495327102804
late_boost_bal_0.60,3,15,0,0.5746976481788372,0.5144813104067009,0.5302359656648997,0.0,0.3355140186915888
triad_odd_bal_0.45,4,19,15,0.573503807602187,0.5160117807862534,0.5364081619369956,0.0,0.3121495327102804
edges_narrow_bal_0.55,5,23,15,0.5734485435799653,0.5152537722908093,0.5366727811769628,0.0,0.3186915887850467
triad_odd_bal_0.45,2,11,3,0.5731173522520177,0.5149316584222859,0.5332131931788596,0.0,0.3121495327102804
edges_narrow_bal_0.55,0,3,3,0.5723020728994445,0.5146892259914959,0.5308302056808627,0.0,0.3186915887850467
late_boost_bal_0.60,3,15,2,0.5719865699767678,0.5135129226755051,0.5283456546352777,0.0,0.3355140186915888
triad_odd_bal_0.45,7,31,13,0.5715064436344701,0.5145975982816975,0.5302047399765687,0.0,0.3121495327102804
late_boost_bal_0.60,0,3,3,0.5713362246277165,0.5138766459418058,0.5270504487774683,0.0,0.3355140186915888
triad_odd_bal_0.45,3,15,6,0.5711362600885186,0.5134121973444414,0.5302462330773235,0.0,0.3121495327102804
late_boost_bal_0.60,2,11,1,0.5711246665021215,0.5133093567457663,0.5288817977739384,0.0,0.3355140186915888
late_boost_bal_0.60,5,23,0,0.570917026119593,0.5133066143256194,0.5331695716731506,0.0,0.3355140186915888
edges_narrow_bal_0.55,5,23,12,0.5708941264496821,0.5153851538080928,0.539819943762596,0.0,0.3186915887850467
