profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
edges_narrow_bal_0.55,4,19,1,0.6670436451838514,0.5286885611821254,0.5681931816490826,0.0
baseline,2,11,11,0.6668775866826083,0.5163639106042491,0.5336985192679113,0.0
constant_2.6,3,15,8,0.6660657989199987,0.5127769454068734,0.5266102475262978,0.0
constant_2.6,1,7,3,0.6659994693635485,0.5140555451509192,0.5327978197084621,0.0
baseline,7,31,2,0.6659652349857444,0.5161479628437415,0.5317487353996138,0.0
baseline,1,7,8,0.6658916582359975,0.5134118642508967,0.5296319323093902,0.0
edges_narrow_bal_0.55,1,7,8,0.6654067647802859,0.5284379696730703,0.5595764943974048,0.0
edges_narrow_bal_0.55,3,15,10,0.665377003318403,0.5303745479977977,0.5730167705837711,0.0
constant_2.6,1,7,15,0.6652659425039797,0.5136941661204232,0.5320736570215688,0.0
edges_narrow_bal_0.55,6,27,10,0.6648561777354504,0.5282150563235664,0.5696730703412152,0.0
baseline,1,7,10,0.6638388669180539,0.5145898280143474,0.5309095925687483,0.0
baseline,6,27,12,0.6638204727306171,0.5138491308746436,0.529721879885956,0.0
constant_2.6,0,3,0,0.6635062583887381,0.5170022942223057,0.5397355011393077,0.0
baseline,5,23,3,0.6634893773567553,0.514742720500322,0.5324951715257978,0.0
baseline,7,31,1,0.6628198289340568,0.514744118458567,0.5365906373585948,0.0
constant_2.6,2,11,14,0.6623747541904673,0.5155687174204827,0.5356023894247277,0.0
baseline,4,19,14,0.6621208498114596,0.512547484594868,0.5281477053251172,0.0
edges_narrow_bal_0.55,5,23,8,0.6618502700852665,0.5246219550304311,0.5584924331483162,0.0
edges_narrow_bal_0.55,3,15,7,0.6617609856996176,0.526058243180905,0.56943274653651,0.0
edges_narrow_bal_0.55,7,31,14,0.661418728887963,0.5279126798708353,0.5598205383848455,0.0
constant_2.6,3,15,15,0.661079376970378,0.512217826263383,0.5295818116552735,0.0
baseline,2,11,13,0.661065023452589,0.5131889266991632,0.5306739630276832,0.0
constant_2.6,4,19,7,0.6609272091644036,0.5168587882760556,0.533543051783875,0.0
baseline,5,23,4,0.6608001471534994,0.5126387197645546,0.5305610227168215,0.0
